q_id,query,label_status,gold_web_ids,clarify_note
51,Расчетный счет,need_clarify,1186,"ask_details::Запрос слишком общий: непонятно, что именно нужно про расчётный счёт — открыть, тарифы/стоимость, документы, как узнать реквизиты/номер, для ИП/ООО/самозанятого, как закрыть и т.д. Нужно уточнение."
102,Мои счета,need_clarify,,"ask_channel|ask_details::уточните, где хотите увидеть «Мои счета» (приложение/Альфа-Онлайн/телефон) и что именно нужно: список всех счетов, реквизиты/остатки или счёт/карта не отображается"
231,Куда уходят пополнения?,need_clarify,,ask_channel|ask_details|ask_product::Это пополнение чего (карта/счёт/вклад/кредит)? Каким способом пополняли? Что именно произошло (не зачислилось/не туда/в обработке)?
240,Прошёл ли платёж?,need_clarify,1159,"ask_details::Уточните, пожалуйста, о каком платеже идёт речь: по карте или по реквизитам, разовый или автоплатёж, и для физического лица или бизнеса. Также важно — вы проверяете списание или зачисление средств?"
394,По каким операциям,need_clarify,"169,819,932,1027",ask_channel|ask_details|ask_product::Кэшбэк по QR зависит от типа оплаты: если это СБП/перевод по QR — часто кэшбэка нет; если QR ведёт на оплату покупки у продавца (эквайринг/карта) — может быть. Нужен тип QR (СБП или оплата картой у мерчанта).
409,Мне нужна вся история платежей совершенные по QR коду,need_clarify,"109,292,718,862,1655,1704,1705","ask_channel|ask_details::История платежей по QR — это выписка/фильтр в конкретном канале; нужно уточнить где и за какой период, поэтому роут в справку + поддержку."
697,Пополняю кредитный долг как могу в связи с задержкой выплат  ,need_clarify,1680,"ask_details|ask_product|route_support::Уточните, по какому кредиту речь (карта/кредит наличными), есть ли уже просрочка и что именно вы хотите узнать — варианты помощи, каникулы или последствия."
1079,Здравствуйте! Планирую оплачивать сплав за группу людей. Организатор прислал куаркод. Будет ли кэшбек при такой оплате?,need_clarify,"339,862,1516,1655",ask_channel|ask_details::Кэшбэк зависит от типа QR: при оплате через СБП часто не начисляется; при QR-эквайринге — зависит от МСС продавца. Нужны детали способа оплаты.
1927,Где найти расчетный счёт карты,need_clarify,"368,1157,1607","ask_details|ask_product::Уточните, речь про карту физлица в приложении Альфа-Банк или про бизнес-карту/РКО: где именно смотрите (приложение/интернет-банк)."
2125,Не показывает номер карты,no_answer,,
2419,Не видно карту в приложении,ok,"455,1899",
3026,"Добрый вечер, я перевел пенсию в альфа банк. По условиям первую 0000 руб из 0000 должны были начислить после одобрения СФР заявления. Уже в пятницу заявление было одобрено, но деньги не поступили.",need_clarify,"125,423,1244","route_support::Персональный кейс про перевод пенсии/вознаграждение: сроки зависят от даты подачи заявления и первого фактического зачисления пенсии. Если СФР уже одобрил, но деньги/бонус не пришли — лучше написать в поддержку с датой одобрения и условиями акции (без персональных данных)."
3039,В августе я перевёл пенсию а альфа-банк. 0-го августа получил смс-ку с подтверждением. Первую 0000 рублей из трёх  в августе я не получил. 0- го сентября получил пенсию. А первой 0000 так и нет,need_clarify,"125,423",how_to_check::Уточните дату подачи заявления на перевод пенсии (до/после 20 числа) и на какие реквизиты пришла пенсия за август — в Альфа-Банк или на старые.
3177,Добрый день У меня подключены быстрые платежи?,need_clarify,292,"ask_channel|ask_product|how_to_check::уточнить: физлицо или бизнес и где хотите проверить (приложение/веб). Дам шаги, как посмотреть статус СБП и как подключить."
3186,Как оплачивать покупки по спб с моей кредитной карты?,ok,"163,165,1655",
3251,отключить кешбек,ok,"862,1553",
3316,Добрый день а как подключить альфа пей,ok,"455,1523",
3415,Как можно регистрировать карту без номера телефона,need_clarify,,ask_channel|ask_details|route_support::Уточните: что значит ‘зарегистрировать’ (активировать/привязать к Альфа-Онлайн/сменить номер)? Карта дебетовая или кредитная? Есть доступ к старому номеру/SMS? Если номера нет — нужен контакт с поддержкой или отделением для смены/подтверждения данных.
3495,"Здравствуйте! Оформлял кредит. На данном шаге приложение зависло. Не понимаю, что теперь делать",need_clarify,862,"ask_details|route_support::Уточните, на каком шаге зависло (анкета/документы/подписание/ожидание решения). Если повторяется — обращение в поддержку/телефонный центр."
3574,"То есть только картой, а мирпэй?",ok,"291,1533,1539",
4484,Здравствуйте. Мне нужны реквизиты карты.,ok,"862,1067,1760",
4706,Адрес офиса в Дзержинске Нижегородской области ?,need_clarify,,how_to_check::В базе нет страницы с адресами офисов в Дзержинске — проверьте адрес через справочник офисов или контакт-центр.
5007,"Отключить все уведомления , и вернуть деньги за списание ",ok,"862,1924",
5471,как поменять пин код на карте?,ok,"1904,1907",
5632,Здравствуйте! Я рекомендовала мужу карту альфа и стикер ,need_clarify,,"ask_details|ask_product::Уточните, что именно вы ожидаете по рекомендации (начисление бонуса/кэшбэка), какой продукт оформил муж (карта/стикер) и прошёл ли он условия акции."
6019,"Добрый день, прошу прислать надбавку по кредиту к сумме ОСЗ из кред договора XXXXX",need_clarify,,ask_product|route_support::нужен продукт и договор; решается через поддержку
6085,"Добрый вечер. Спишите мне 00000 рублей, в счет поглощения основного кредита",need_clarify,862,route_support::Запрос на списание в счёт основного долга — персональная операция. Такое оформляется через поддержку/приложение; сумму и продукт нужно уточнять у банка.
6245,не получается поменять номер телефона для привязки платежей спб,ok,"292,1704,1705,1762",
6516,Письма от банка по какому адресу будут уходить ?,ok,"1704,1705",
6777,Добрый день! Ещё возможно оформить стикер Спартак?,no_answer,,
